"","year","length_cm","age","sex","source","faa_area","fleet","project","InModel"
"285",2023,33,6,"M","pacfin","north","Commercial","pacfin","External fit only"
"286",2023,43.6,31,"F","pacfin","north","Commercial","pacfin","External fit only"
"287",2023,38.3,14,"M","pacfin","north","Commercial","pacfin","External fit only"
"288",2023,40.5,23,"F","pacfin","north","Commercial","pacfin","External fit only"
"289",2023,43.3,30,"F","pacfin","north","Commercial","pacfin","External fit only"
"290",2023,29.9,6,"M","pacfin","north","Commercial","pacfin","External fit only"
"291",2023,27.8,7,"F","pacfin","north","Commercial","pacfin","External fit only"
"292",2023,32.7,8,"M","pacfin","north","Commercial","pacfin","External fit only"
"293",2023,35.9,10,"M","pacfin","north","Commercial","pacfin","External fit only"
"294",2023,37.8,17,"M","pacfin","north","Commercial","pacfin","External fit only"
"295",2023,38,12,"F","pacfin","north","Commercial","pacfin","External fit only"
"296",2023,39.9,29,"M","pacfin","north","Commercial","pacfin","External fit only"
"297",2023,40,19,"M","pacfin","north","Commercial","pacfin","External fit only"
"298",2023,44.2,15,"M","pacfin","north","Commercial","pacfin","External fit only"
"299",2023,45.6,29,"M","pacfin","north","Commercial","pacfin","External fit only"
"300",2024,40.2,18,"F","pacfin","north","Commercial","pacfin","External fit only"
"301",2024,36.7,13,"M","pacfin","north","Commercial","pacfin","External fit only"
"302",2024,37.6,13,"F","pacfin","north","Commercial","pacfin","External fit only"
"303",2007,38,16,"M","trawl","north","Growth","trawl","External fit only"
"304",2007,40,12,"M","trawl","north","Growth","trawl","External fit only"
"305",2007,35,8,"M","trawl","north","Growth","trawl","External fit only"
"306",2007,41,26,"M","trawl","north","Growth","trawl","External fit only"
"307",2007,37,12,"M","trawl","north","Growth","trawl","External fit only"
"308",2007,34,6,"M","trawl","north","Growth","trawl","External fit only"
"309",2007,38,14,"F","trawl","north","Growth","trawl","External fit only"
"310",2007,37,15,"F","trawl","north","Growth","trawl","External fit only"
"311",2007,37,11,"F","trawl","north","Growth","trawl","External fit only"
"312",2007,42,23,"F","trawl","north","Growth","trawl","External fit only"
"313",2007,42,8,"F","trawl","north","Growth","trawl","External fit only"
"314",2007,38,13,"F","trawl","north","Growth","trawl","External fit only"
"315",2007,44,15,"F","trawl","north","Growth","trawl","External fit only"
"316",2007,38,12,"F","trawl","north","Growth","trawl","External fit only"
"317",2007,40,13,"F","trawl","north","Growth","trawl","External fit only"
"318",2014,38,22,"M","trawl","north","Growth","trawl","External fit only"
"319",2014,40,15,"M","trawl","north","Growth","trawl","External fit only"
"320",2014,40,20,"M","trawl","north","Growth","trawl","External fit only"
"321",2014,14,2,"M","trawl","north","Growth","trawl","External fit only"
"322",2017,11.5,1,"U","trawl","north","Growth","trawl","Included in base model"
"323",2017,42,33,"M","trawl","north","Growth","trawl","Included in base model"
"324",2024,32,8,"M","trawl","north","Growth","trawl","Included in base model"
"325",2024,42.5,40,"F","trawl","north","Growth","trawl","Included in base model"
"326",2024,25,5,"M","trawl","north","Growth","trawl","Included in base model"
"327",2024,41,31,"M","trawl","north","Growth","trawl","Included in base model"
"328",2024,37.5,14,"F","trawl","north","Growth","trawl","Included in base model"
"329",2024,42.5,31,"F","trawl","north","Growth","trawl","Included in base model"
"330",2024,33.5,7,"F","trawl","north","Growth","trawl","Included in base model"
"331",2024,37.5,12,"F","trawl","north","Growth","trawl","Included in base model"
"332",2024,39,12,"M","trawl","north","Growth","trawl","Included in base model"
"333",2024,27.5,6,"M","trawl","north","Growth","trawl","Included in base model"
"334",2024,36.5,10,"F","trawl","north","Growth","trawl","Included in base model"
"335",2024,33,7,"M","trawl","north","Growth","trawl","Included in base model"
"336",2024,39.5,11,"M","trawl","north","Growth","trawl","Included in base model"
"337",2010,32.9,7,"M","Abrams","north","Growth","Abrams","Included in base model"
"338",2010,42.9,29,"M","Abrams","north","Growth","Abrams","Included in base model"
"339",2010,44.2,17,"F","Abrams","north","Growth","Abrams","Included in base model"
"340",2010,41.4,15,"M","Abrams","north","Growth","Abrams","Included in base model"
"341",2010,47,29,"U","Abrams","north","Growth","Abrams","Included in base model"
"342",2010,38,10,"F","Abrams","north","Growth","Abrams","Included in base model"
"343",2010,43.1,17,"M","Abrams","north","Growth","Abrams","Included in base model"
"344",2010,43.5,17,"M","Abrams","north","Growth","Abrams","Included in base model"
"345",2010,33.4,7,"M","Abrams","north","Growth","Abrams","Included in base model"
"346",2010,44.6,17,"F","Abrams","north","Growth","Abrams","Included in base model"
"347",2010,44.4,12,"F","Abrams","north","Growth","Abrams","Included in base model"
"348",2010,36,17,"F","Abrams","north","Growth","Abrams","Included in base model"
"349",2010,36.2,10,"M","Abrams","north","Growth","Abrams","Included in base model"
"350",2010,20.7,4,"F","Abrams","north","Growth","Abrams","Included in base model"
"351",2010,30,5,"M","Abrams","north","Growth","Abrams","Included in base model"
"352",2010,27.8,7,"F","Abrams","north","Growth","Abrams","Included in base model"
"353",2010,33.1,8,"F","Abrams","north","Growth","Abrams","Included in base model"
"354",2010,31.1,17,"F","Abrams","north","Growth","Abrams","Included in base model"
"355",2010,38.2,28,"M","Abrams","north","Growth","Abrams","Included in base model"
"356",2010,38.1,17,"M","Abrams","north","Growth","Abrams","Included in base model"
"357",2010,33.9,16,"M","Abrams","north","Growth","Abrams","Included in base model"
"358",2010,37.6,14,"F","Abrams","north","Growth","Abrams","Included in base model"
"359",2010,34.8,16,"M","Abrams","north","Growth","Abrams","Included in base model"
"360",2010,35.5,15,"F","Abrams","north","Growth","Abrams","Included in base model"
"361",2010,37.1,27,"F","Abrams","north","Growth","Abrams","Included in base model"
"362",2010,34.4,15,"F","Abrams","north","Growth","Abrams","Included in base model"
"363",2010,30.8,16,"F","Abrams","north","Growth","Abrams","Included in base model"
"364",2010,35.2,15,"M","Abrams","north","Growth","Abrams","Included in base model"
